Name,[features],score
Afghan Hound,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.4237603,queryMatchMigratory=0.0,queryMatchText=1.8015745E-4,originalScore=37.868233",4.0
Mal Shi,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8014571E-4,originalScore=32.29295",0.0
Beaski,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.6601987,queryMatchMigratory=0.0,queryMatchText=1.8015884E-4,originalScore=29.20628",5.0
Bedlington Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.2340096,queryMatchMigratory=0.0,queryMatchText=1.801561E-4,originalScore=28.90858",4.0
Miniature Pinscher,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015035E-4,originalScore=28.908579",4.0
Maltese Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8014912E-4,originalScore=28.908567",2.0
Miniature Husky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015054E-4,originalScore=3.2834237",4.0
Shiba Inu Mix,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015305E-4,originalScore=3.283338",5.0
Staffordshire Bull Terrier,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015203E-4,originalScore=3.282581",2.0
Irish Setter,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8016063E-4,originalScore=3.2770407",5.0
Keagle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.4096501,queryMatchMigratory=0.0,queryMatchText=1.8013385E-4,originalScore=3.261525",5.0
Boxsky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.3897494,queryMatchMigratory=0.0,queryMatchText=1.801641E-4,originalScore=3.2610865",5.0
Gerberian Shepsky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015072E-4,originalScore=3.2610571",3.0
Boggle,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.80155E-4,originalScore=3.260994",3.0
Canaan Dog,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8015906E-4,originalScore=3.2606509",5.0
Gordon Setter,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=0.0,queryMatchMigratory=0.0,queryMatchText=1.8013557E-4,originalScore=3.2606373",5.0
Pitsky,"queryMatchName=0.0,queryMatchGenus=0.0,queryMatchClass=0.0,queryMatchOrigin=0.0,queryMatchFun_Fact=1.6063626,queryMatchMigratory=0.0,queryMatchText=1.8015473E-4,originalScore=3.2606113",3.0
